task_id	trial	seed	vlm_ckpt	vla_prompt_last	stage_success	goal_success	stage_score_pct	extra_pour_detected	failure_reason
13	8	108	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.6667	66.7	0	incomplete_stage
13	9	109	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		1	1.0000	100.0	0	None
17	0	100	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.6667	66.7	0	incomplete_stage
17	1	101	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.3333	33.3	0	incomplete_stage
17	2	102	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.6667	66.7	0	incomplete_stage
17	3	103	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.6667	66.7	0	incomplete_stage
17	4	104	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.6667	66.7	0	incomplete_stage
17	5	105	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.3333	33.3	0	incomplete_stage
17	6	106	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		1	1.0000	100.0	0	None
17	7	107	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.6667	66.7	0	incomplete_stage
17	8	108	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.6667	66.7	0	incomplete_stage
17	9	109	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.6667	66.7	0	incomplete_stage
20	0	100	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.3333	33.3	0	incomplete_stage
20	1	101	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		1	1.0000	100.0	0	None
20	2	102	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.6667	66.7	0	incomplete_stage
20	3	103	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.6667	66.7	0	incomplete_stage
20	4	104	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.0000	0.0	0	incomplete_stage
20	5	105	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.3333	33.3	0	incomplete_stage
20	6	106	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.6667	66.7	0	incomplete_stage
20	7	107	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.3333	33.3	0	incomplete_stage
20	8	108	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.3333	33.3	0	incomplete_stage
20	9	109	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.6667	66.7	0	incomplete_stage
23	0	100	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		1	1.0000	100.0	0	None
23	1	101	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.6667	66.7	0	incomplete_stage
23	2	102	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.3333	33.3	0	incomplete_stage
23	3	103	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.3333	33.3	0	incomplete_stage
23	4	104	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		1	1.0000	100.0	0	None
23	5	105	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.0000	0.0	0	incomplete_stage
23	6	106	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		1	1.0000	100.0	0	None
23	7	107	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.3333	33.3	0	incomplete_stage
23	8	108	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		1	1.0000	100.0	0	None
23	9	109	/project/peilab/why/RoboMemArena/checkpoints/PrediMem/vlm_tasks1to26_ckpt74500		0	0.0000	0.0	0	incomplete_stage
